Quest,Review,Popular,Another,Questslink
СРОООЧНО помогите найти фильм годов производство европа,"Группа людей состоящих из мужчин и женщин заблуждившисяв подземном пространстве в фильме присутствует выживание, разочарование, предательства.Это не американский фильм а европейский страна может быть Италия, Испания,Франция. Главная героиня там девушка блондинка ее предает возлюбленной.",санктум. про спелеологов. к стати в ссср тоже такое снимали там правда про эверест с высоцким.,"['Единственный полезный ориентир это то что он 2000х годов и производство Европа всё остальное очень расплывчато. Видите ли в таких фильмах почти всегда есть и женщины и мужчины, всегда есть предательство, потому что люди борются за выживание, налёт цивилизованности слетает и проявляются первейшие инстинкты - либо ты либо тебя.\\nА ещё таких фильмов наштамповали невероятно много и без каких то конкретных (запоминающихся) сцен найти определённый фильм будет проблематично.']",https://otvet.mail.ru/question/231595543
,"Фильм снят относительно не давно. 2005-2020.\nНе русский, переведен на русский.\nИстория там следующая Девочка заходит в комнату и видит на полу лежит солдатик.\nОна подбирает его и осматривает, видит поврежденную ногу, чинит. В предыстории рассказывается как он ее повредил (убегал от мышей).\nДалее девочка попадает в их мир и все игрушки оживают. Там они сражаются с мышиным королем. В конце будет полномасштабная война, где они побеждают.\nМузыка Чайковского, в переведенной версии солдатик был щелкунчиком.\nПредположительно США, мало вероятно что Франция/Великобритания. Фильм высокобюджетный, снят с душой и хорошей графикой. Никак не найти, возможно убрали из-за полит. разногласий.\n\nЭто не мультфильм, фильм с графикой (мультипликацией). В названии нет имени щелкунчик. Щелкунчик и Крысиный король (2010) это совершенно не то, там мыши сс, играют люди. Должны быть обычные мышки, нарисованные(3д) Из всего реальная обстановка(комната/дом и девочка) иногда появляются обычные люди актеры. Фильм классный, что запал и хочется еще раз увидеть.Только не найти.",Версия Андрона Кончаловского,[],https://otvet.mail.ru/question/231322036
Помогите найти ФИЛЬМ,"Фильм очень старый. Может, даже 60х годов. Это комедия. Фильм американский. Он немой. Происходят действия, но без слов. Фильм про полицейских. Главный герой полицейский, ему где-то лет 50",0,[],https://otvet.mail.ru/question/233830444
,,0,[],https://otvet.mail.ru/question/231563578
,"Как назывался фильм, где был парень который был из богатой семьи, и он встретил девушку с цветными волосами которая болела раком. Она ему помогла записать трек. Знаю что сложно найти по такому описанию, но попытаюсь",0,[],https://otvet.mail.ru/question/231838852
,"Смотрела его примерно в 90х. Фильм чёрно белый, кажется. Там мужик нашел маленького инопланетянина и принял его как сына. Они всё болтали у кого как и что, а потом гуманойд настроил людей в деревне что они на тяпках летали. Но в итоге его вроде домой отправили.",E.T. (Инопланетянин),['Абдулладжан'],https://otvet.mail.ru/question/232435778
Помогите пожалуйста найти фильм про мужчину который попал в авиакатастрофу,"Помогите пожалуйста найти фильм, помню только что не Новый, помню отрывками что мужчина разбивается на аэроплане или на каком то военном самолете, весь сгорает в нем, но его кто то нашёл, и спас, и вот он пришёл в чувство, весь страшный с обгоревшей кожей, помню момент как его выносили на носилках недвежимого на улицу под дождь, и он радовался этому, все лежал и кому то рассказывал свою прошлую жизнь, то ли девушке то ли парням каким то не помню. Заполнилось только что он весь обгоревший страшный и все тряпки ему на тело и на лицо накладывали.",\Английский пациент\ (1996)\nhttps//www.kinopoisk.ru/film/7636/,[],https://otvet.mail.ru/question/228531066
Помогите найти фильм,"Я тоже не могу найти фильм, алиса в стране чудес,  все время выдает эту пошлость в виде Бёртона",0,[],https://otvet.mail.ru/question/231148614
,"Фильм ужасов, минимум лет 10 будет ему. Помню, что было связано всё с каким-то чёрными насекомыми, сама картина была грязноватая, стоял какой-то коричневатый фильтр (цветокор, все дела)","Затаившиеся /Hidden (2011)\n https//www.kinopoisk.ru/film/529370/ \nКомпания молодых людей отправляется на выходные в опустевший монастырь, где некогда располагался загадочный медицинский центр.Вскоре выясняется, что над пациентами тайно проводились бесчеловечные эксперименты.",[],https://otvet.mail.ru/question/234563611
,"Лет 10 назад, когда ещё была маленькая, начала смотреть какой-то относительно старый фильм. Единственное, что я помню, это то, что там затонул корабль и спаслись несколько человек, в том числе женщина. Они зацепились за гроб, который оказался пустым. Потом они наткнулись на корабль с живым скелетом на нем. Дальше не смотрела, так как стало страшно. Может быть кто-то знает, что это за фильм? Подскажите, пожалуйста.","Карабль призрак, игра вроде по нему была или я чето путаю",[],https://otvet.mail.ru/question/234858972
